"","TotalCounts","Unlimited","Lim_100K","Lim_1M"
"1",241,1369288.96930499,1369288.96930499,1369288.96930499
"2",240,1274702.39342329,998234.460022841,1274702.39342329
"3",249,1421205.31673574,1363219.4972635,1421205.31673574
"4",241,1260887.86659281,1256916.4329998,1260887.86659281
"5",251,1975508.91461837,1694753.10477845,1975508.91461837
"6",231,1307862.47591477,1302831.2687052,1307862.47591477
"7",244,1508601.82800547,1353542.85574572,1508601.82800547
"8",237,2042068.35343939,1292074.08175696,2042068.35343939
"9",229,1375658.66594942,1261298.52649196,1375658.66594942
"10",248,1103866.24602492,1042087.08257955,1103866.24602492
"11",240,2393476.12310187,1431224.32414712,2393476.12310187
"12",219,1139359.38118528,913609.416587312,1139359.38118528
"13",251,1071627.28897373,1041175.24154997,1071627.28897373
"14",251,1591965.80208313,1336403.37932899,1591965.80208313
"15",240,1372598.78046076,1308368.47069284,1372598.78046076
"16",211,1507873.1413457,929916.399639237,1507873.1413457
"17",213,1274227.21684592,1090267.09530847,1274227.21684592
"18",213,1125433.26563753,1070933.45563713,1125433.26563753
"19",248,1703791.81270402,1363280.41080958,1703791.81270402
"20",257,2032482.67926601,1411317.65981362,2032482.67926601
"21",237,1112014.87032475,1083351.12704336,1112014.87032475
"22",247,1899034.71206844,1413854.98166416,1899034.71206844
"23",214,876854.652655896,817849.186033483,876854.652655896
"24",252,949593.728856475,949593.728856475,949593.728856475
"25",230,1297391.38157544,1138238.68444127,1297391.38157544
"26",229,1187687.56123261,1175678.85457344,1187687.56123261
"27",224,1223237.95775567,1199087.57613798,1223237.95775567
"28",223,978132.527975093,978132.527975093,978132.527975093
"29",233,1205619.62310551,1090693.20232881,1205619.62310551
"30",262,1680777.22421739,1396596.74801699,1680777.22421739
"31",251,903970.400166802,903970.400166802,903970.400166802
"32",255,1747532.72767736,1646044.67523347,1747532.72767736
"33",192,600441.847141325,600441.847141325,600441.847141325
"34",225,1428550.13141731,1041343.56609608,1428550.13141731
"35",210,1818687.66973918,1122104.95570079,1818687.66973918
"36",212,1210012.65086961,1083544.76710625,1210012.65086961
"37",219,902407.322190451,902407.322190451,902407.322190451
"38",238,1803437.62926579,1228951.13181222,1803437.62926579
"39",249,1111928.38534537,1111928.38534537,1111928.38534537
"40",242,813059.932923521,810524.693425199,813059.932923521
"41",254,1336227.66934229,1295814.35420838,1336227.66934229
"42",220,981186.435386069,861561.459668586,981186.435386069
"43",222,1226313.83460734,1225866.5449596,1226313.83460734
"44",242,1358679.46847776,1112034.9476951,1358679.46847776
"45",230,1505880.65558006,1363223.51521321,1505880.65558006
"46",218,886997.92732032,886997.92732032,886997.92732032
"47",273,1760911.75370603,1634517.40555208,1760911.75370603
"48",253,1181785.77963953,1168735.77833837,1181785.77963953
"49",244,1241681.43288137,1213819.48194874,1241681.43288137
"50",244,1582593.70887385,1558450.4351887,1582593.70887385
